	Input.Article	Article.wd	Input.Fact	fact.wd	goodTrivia	knew	surprising	transe, ap/ap	transe, c/c	transe, ap/c	random-2	random-1	frequency	profile-transe, ap/ap	profile-transe, c/c	profile-transe, ap/c	complex, ap/ap	complex, c/c	complex, ap/c	profile-complex, ap/ap	profile-complex, c/c	profile-complex, ap/c	text1024, ap/ap	text1024, c/c	text1024, ap/c	H, ap/ap	H, c/c	H, ap/c	A, ap/ap	A, c/c	A, ap/c	S, ap/ap	S, c/c	S, ap/c	LP-transe-avg-lhs-cos	LP-transe-avg-rhs-cos	LP-transe-max-lhs-cos	LP-transe-max-rhs-cos	LP-transe-centroid-rhs-cos	LP-complex-avg-lhs-cos	LP-complex-avg-rhs-cos	LP-complex-max-lhs-cos	LP-complex-max-rhs-cos	LP-complex-centroid-rhs-cos	LP-profile-transe-avg-lhs-cos	LP-profile-transe-avg-rhs-cos	LP-profile-transe-max-lhs-cos	LP-profile-transe-max-rhs-cos	LP-profile-transe-centroid-rhs-cos	LP-profile-complex-avg-lhs-cos	LP-profile-complex-avg-rhs-cos	LP-profile-complex-max-lhs-cos	LP-profile-complex-max-rhs-cos	LP-profile-complex-centroid-rhs-cos
0	A. P. J. Abdul Kalam	Q9513	A. P. J. Abdul Kalam is in the group of Indian aerospace engineers	P27=Q668,P106=Q10497074	0.0	-2.0	0.4	inf	inf	inf	0.46758147814320716	0.7788081462836042	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.9574320409446955	0.9013984277844429	0.9598642848432064	0.9151035025715828	0.8818810656666756	1.0321548022329807	1.0297940112650394	1.1040196269750595	1.1001547649502754	1.0257507227361202	0.9556676261126995	0.8711497634649277	0.9556676261126995	0.8711497634649277	0.8711497634649277	0.9149931445717812	0.8438796103000641	0.9149931445717812	0.8438796103000641	0.8438796103000641
1	A. P. J. Abdul Kalam	Q9513	A. P. J. Abdul Kalam is in the group of Recipients of the Padma Vibhushan	P166=Q932650	-0.6	-2.0	-0.6	1.0706125837748848	1.1413425315603234	1.9034792226937738	0.9352235147630161	0.2545838607340868	0.0011737089201877935	0.8246157980097197	0.6065467479084852	1.5054138749153958	1.0152279610828046	1.0239975308911249	1.858206193096036	0.7748422776878178	0.5190858342826224	1.445958900331331	1.2706954595571402	1.5953851507863914	2.341863362694918	1.0368908619388741	1.1056687465206565	1.7631050007633562	0.9478174722913459	0.8328944372779093	1.3694035291474762	0.9701928218560402	0.9026351804959696	1.3665629913582196	0.8718628883361816	0.8254677355289459	0.8718628883361816	0.8254677355289459	0.8254677355289459	0.9139629676938057	0.9334702119231224	0.9139629676938057	0.9334702119231224	0.9334702119231224										
2	Abraham Lincoln	Q91	Abraham Lincoln is in the group of Presidents of the United States	P39=Q11696	-1.8	1.2	-1.8	0.9539389021232609	0.9567544296657672	1.775692728550195	0.721484146311523	0.09730320414256355	0.024390243902439025	0.8928249849692963	0.8107914760138846	1.706421638740214	1.0191086931154034	1.0969233196721155	1.8956110247147588	1.0670193399547963	1.2075139605191973	2.0573913265891792	2.5234036326395533	4.313221094385282	4.966469939614536	0.9813793006017135	1.0265077897430297	1.8256767800479323	0.9273414690405513	0.846021751695815	1.406448600474623	0.8447266796612058	0.6545818142446803	1.4086828412847325	0.8977898806333542	0.8780569434165955	0.8977898806333542	0.8780569434165955	0.8780569434165955	0.9710039477795362	0.9823833703994751	0.9710039477795362	0.9823833703994751	0.9823833703994751										
3	Akshay Kumar	Q233748	Akshay Kumar is in the group of Canadian game show hosts	P27=Q16,P106=Q22662561	-0.6	-2.0	-0.4	1.4905276148730067	5.114568037723107	5.624149425661762	0.3067403073773126	0.9289426134341581	0.5	1.3993496381665291	4.7193148909059595	5.43551507326644	1.3979278369618318	4.8156283242898805	5.325547684425657	1.4935792189908095	5.069091385299113	5.798692713995589	2.1084227629466166	7.557851127692507	8.276018860495773	1.296029849142876	4.423289819192894	4.827798844088931	1.0401494103547302	3.0430551960414634	3.247458430998656	1.1349091023333409	3.7859878330947496	4.1130408893801995	0.97266381746158	1.0210636141709983	1.0121289296075702	1.0392773263156414	1.0256646946072578	1.0418735705316067	1.0586049910634756	1.1202737241983414	1.1499788910150528	1.0648449808359146	0.9727267641574144	0.915246456861496	0.9727267641574144	0.915246456861496	0.915246456861496	0.9310461655259132	0.8504403084516525	0.9310461655259132	0.8504403084516525	0.8504403084516525
4	Akshay Kumar	Q233748	Akshay Kumar is in the group of Indian stunt performers	P27=Q668,P106=Q465501	-0.6	-2.0	-0.6	2.644954192821729	7.177931308147837	7.620951798428412	0.32459616221716747	0.6821573120220238	0.3333333333333333	3.1547039691901713	8.574125059392472	9.333860543221448	1.4943479095164944	3.593121916807589	4.301469175580616	1.0775940111812694	2.2524323648010562	3.000309951521861	1.0270720715675343	2.099797528939851	2.982482844377503	1.0284593432182743	3.2792926159497897	3.811181685121055	0.9039415389126615	2.8879090080524445	3.1740100213404885	0.8866951264429674	1.260553794903487	1.71491480022376	0.9790473044849932	0.9630767917260528	1.0055432105436921	0.9819893296808004	0.9573485255241394	0.9980618441477418	1.0118771847337484	1.027249988168478	1.0667898133397102	1.0132737178355455	0.9645810388028622	0.8825927302241325	0.9645810388028622	0.8825927302241325	0.8825927302241325	0.9521188251674175	0.9010421186685562	0.9521188251674175	0.9010421186685562	0.9010421186685562
5	Alan Rickman	Q106481	Alan Rickman is in the group of 20th-century English male actors	P27=Q145,P21=Q6581097,P106=Q33999	-1.4	2.0	-1.6	1.263420842779471	1.577556204073319	2.285731741988746	0.10253914900249317	0.4813006246818201	0.00016663889351774705	1.0447597857618827	1.0896306746465954	1.991290262648933	1.2270376067898814	1.4696940899341382	2.2425074945801673	1.2067779667882257	1.412818717716052	2.2810448131914507	1.4178557247387096	1.887358105713119	2.7465648316301867	0.8358982477065038	0.5767289721393893	1.3765539251611352	1.0154205578827065	1.0273696770611938	1.4315829154043445	0.9279260876687208	0.7500405479090679	1.3169200313217426	0.9582837472359339	0.993872789045175	0.9726089686155319	1.0192621275782585	0.9846803639084101	0.9595442327360312	0.9745213513573011	0.9774417206645012	0.9837478995323181	0.962849136441946	0.9447712463637193	0.8766012961665789	0.9481594786047935	0.931500993669033	0.8292788416147232	0.919496106604735	0.9190196295579275	0.9288120567798615	0.9486585780978203	0.9023393169045448
6	Alan Rickman	Q106481	Alan Rickman is in the group of Alumni of Chelsea College of Art & Design	P69=Q860450	1.0	-2.0	0.6	1.0515030573820934	1.1296086498131583	1.8298677585349026	0.9095742698193526	0.3715408552451007	0.005813953488372093	0.9772635764521208	0.9557065823561335	1.7378973428842608	1.1835537060610035	1.4147633383072167	2.131054796587578	1.0205109691537833	1.0420978671560366	1.8381980279803645	1.3343041905907806	1.752230046003304	2.4734393332361955	1.0570575548462307	1.1734028420193579	1.7358875279894534	1.0214906572960332	1.0881527404416924	1.4627213489697581	0.9040493061549542	0.6640021926453283	1.2737835704082103	0.8790969923138618	0.9391437880694866	0.8790969923138618	0.9391437880694866	0.9391437880694866	0.9514826349914074	0.9737863540649414	0.9514826349914074	0.9737863540649414	0.9737863540649414										
7	Alan Rickman	Q106481	Alan Rickman is in the group of English male voice actors	P27=Q145,P21=Q6581097,P106=Q2405480	-1.2	1.2	-1.2	1.0686138507999996	1.1681943046977923	1.9161143819773583	0.22866134965256768	0.5743795647149511	0.005405405405405406	0.8124095778278667	0.6100084265920992	1.5439016802937515	0.9761916568338688	0.9358256260060578	1.777709650464141	0.9558520208797785	0.9096515177116823	1.7980584624308997	1.053588264602414	1.1191114833191207	2.0233543656584847	0.769995359275339	0.46336925904402043	1.3320420725795488	1.0109475176816363	1.0398409322662734	1.4574654473474762	0.8976504999363132	0.702472080818694	1.334922518014281	0.9540333760281404	0.9869141156474749	0.9612852707505226	1.0192621275782585	0.9739935602992773	0.9439706069727739	0.9593806453049183	0.96336305513978	0.9837478995323181	0.93599783629179	0.9425739285846552	0.8511849368611971	0.9481594786047935	0.931500993669033	0.7911474257707596	0.9250000491738319	0.9202764170865217	0.9453238844871521	0.9524289406836033	0.9121869876980782
8	Albert Einstein	Q937	Albert Einstein is in the group of 20th-century physicists	P106=Q169470	-1.4	2.0	-2.0	1.1272343684192891	1.2924950075805373	1.9089804303749949	0.37601526450946776	0.4348098981803006	4.309230371455658e-05	1.22998356828193	1.5332900527708337	2.157377749256622	1.3479201554102884	1.7424807042393728	2.4156108211740075	1.254039008239632	1.5731571950195127	2.2504429407634836	1.267858600715125	1.5709593632217798	2.423824546081073	0.9928744107223239	0.9803366046609876	1.5580636338925602	1.0239188646085657	1.0706924088707994	1.4589286486203505	0.9516845239256655	0.8338293475120201	1.3235385532786703	0.9500294774770737	0.8824426680803299	0.9500294774770737	0.8824426680803299	0.8824426680803299	0.9612065367400646	0.9669899716973305	0.9612065367400646	0.9669899716973305	0.9669899716973305	0.9622582420706749	0.8987530469894409	0.9622582420706749	0.8987530469894409	0.8987530469894409	0.943408664315939	0.9530794769525528	0.943408664315939	0.9530794769525528	0.9530794769525528
9	Albert Einstein	Q937	Albert Einstein is in the group of American Zionists	P27=P30,P106=Q12718299	0.25	-0.4	0.4	inf	inf	inf	0.13139608727479746	0.6852263861090184	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1.0872976758982986	1.0491851263359422	1.180913284420967	1.098051369190216	1.0526885241270065	1.1030402723699808	1.073503028601408	1.157281517982483	1.1046867221593857	1.0845429673790932										
